gruppo,corda,serie,cerchio,misura,cod_carico,cod_vel,marca,modello,dot,battistrada,lotto,shore,targa,cliente,rete,scaffale,ubicazione,pezzi,stagione
Nuove,155,65,14,1556514,nil,nil,PIRELLI,SOTTOZERO 3,nil,nil,nil,nil,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,INVERNALE
Nuove,245,45,17,2454517,nil,nil,EVERGREEN,EU 72,nil,nil,nil,nil,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,INVERNALE
Nuove,175,65,15,1756515,84,T,CONTINENTAL,ECOCONTACT 5,nil,nil,nil,nil,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,ESTIVO
Nuove,195,60,15,1956015,88,H,MICHELIN,ENERGY SAVER +,nil,nil,nil,nil,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,ESTIVO
Nuove,195,55,16,1955516,87,V,SAILUN,ATREZZO,nil,nil,558,nil,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,INVERNALE
Nuove,165,65,14,1656514,nil,nil,EVERGREEN,nil,nil,nil,526,nil,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,INVERNALE
Nuove,205,55,16,2055516,nil,nil,MARSHALL,nil,nil,nil,nil,nil,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,INVERNALE
Nuove,155,65,14,1556514,75,T,CONTINENTAL,ECO CONTACT 3,nil,nil,nil,nil,nil,DI VINCENZO ANTONIO,nil,PIANO TERRA,1AB,4,ESTIVO
Nuove,155,65,14,1556514,75,T,FALKEN,nil,nil,nil,nil,nil,nil,nil,nil,Scaffale negozio,Scaffale negozio,4,INVERNALE
Nuove,205,55,16,2055516,91,V,CENTARA,VANTI TOURING,nil,nil,nil,nil,nil,nil,nil,Scaffale Promo,Scaffale Promo,4,ESTIVO
Nuove,225,50,17,2255017,98,W XL,CENTARA,VANTI HP,nil,nil,nil,nil,nil,nil,nil,Scaffale Promo,Scaffale Promo,6,ESTIVO
Nuove,225,65,16,2256516,112/110,R,CENTARA,COMMERCIAL,nil,nil,nil,nil,nil,nil,nil,PRIMO PIANO,2AB,2,ESTIVO
